"","Control_1","Control_2","Control_3","ZIKV_1","ZIKV_2","ZIKV_3"
"100287102",6,2,5,3,5,3
"653635",636,479,324,593,621,317
"102466751",18,20,10,11,18,6
"107985730",1,0,1,1,0,0
"100302278",0,0,0,1,0,0
"645520",0,1,0,0,0,1
"100996442",108,67,45,51,69,43
"729737",63,27,28,53,51,25
"102725121",14,14,13,12,19,10
"102723897",693,525,373,613,721,376
"102465909",21,14,10,14,14,6
"112268260",24,13,12,33,31,20
"729759",0,0,0,0,1,0
"100132287",119,68,57,126,106,59
"105378947",0,0,0,5,2,3
"101928626",1,0,0,1,1,0
"113219467",2008,1660,1011,1523,1972,1080
"81399",10,3,1,3,4,1
"100288069",77,37,34,47,52,21
"105378580",15,10,9,15,13,4
"400728",6,5,0,2,2,1
"79854",20,15,7,126,142,63
"643837",423,254,182,223,260,171
"107984850",1,0,3,5,5,2
"284593",4,2,2,2,1,2
"284600",327,247,153,165,226,96
"100130417",424,308,229,320,366,181
"107985728",807,534,267,390,453,315
"148398",4409,3254,2142,3446,4095,2160
"26155",7200,4994,3700,4752,5518,3074
"339451",809,516,361,501,585,302
"84069",167,126,97,283,324,168
"84808",35,32,18,74,89,47
"57801",809,627,332,1732,2087,1288
"9636",181,117,97,19828,20854,10325
"375790",24538,15246,11424,25835,26796,14657
"100288175",51,40,31,85,96,51
"105378948",44,39,33,75,83,55
"401934",3,1,0,14,21,8
"54991",616,442,298,447,481,258
"254099",0,1,0,0,0,0
"406983",0,0,0,0,1,1
"554210",1,0,1,3,0,2
"100506376",1,0,0,0,0,0
"254173",1,0,0,2,1,0
"8784",2,2,0,1,6,2
"7293",7,2,1,9,13,2
"51150",8580,5890,4160,5101,5862,3359
"126792",1359,995,665,674,786,431
"388581",36,31,19,29,36,18
"118424",1994,1518,1010,1334,1704,919
"101928895",60,34,18,35,50,24
"6339",188,120,91,161,166,83
"116983",1765,1296,939,1058,1295,768
"102465434",2,2,1,1,1,1
"109623456",5,3,3,2,4,2
"126789",407,314,282,312,331,168
"54973",2785,2001,1536,1835,2252,1285
"102465435",14,13,8,6,13,6
"80772",931,734,439,559,614,328
"83756",61,31,27,42,46,30
"1855",3213,2386,1564,2149,2524,1408
"102466740",7,6,5,6,6,1
"54587",277,176,168,214,274,131
"54998",3661,3123,2060,2754,2988,1663
"81669",5293,3345,2596,4670,5250,2818
"148413",991,827,538,697,854,456
"55052",1892,1540,974,1393,1607,827
"441869",1,1,2,31,10,9
"105378585",0,0,1,3,3,7
"102724312",1,2,1,0,0,0
"107985729",2,2,1,1,1,1
"64856",1038,755,440,442,549,310
"219293",24,17,11,25,15,12
"83858",205,149,117,162,164,98
"55210",1645,1258,935,1181,1327,779
"339453",21,9,3,14,19,7
"29101",4193,3184,2011,2412,2927,1672
"643988",293,248,119,137,130,74
"105378586",41,39,20,17,25,19
"142678",1259,849,617,1038,1293,671
"8510",113,88,66,88,102,64
"984",3130,2329,1699,2280,2953,1477
"728661",1653,1027,715,1024,1132,590
"8511",19,11,7,9,10,9
"728642",2307,1763,1317,1966,2334,1314
"9906",758,478,361,485,601,304
"112268218",155,106,82,147,166,101
"65220",2205,1557,1167,1766,2058,1205
"2782",12560,8516,5978,7460,8070,4734
"105378949",7,4,4,5,9,4
"163688",28,13,10,23,23,9
"339456",17,3,4,10,8,5
"85452",3,1,0,1,1,0
"105378589",0,0,0,0,2,1
"2563",19,17,8,5,22,4
"105378591",4,0,0,0,4,1
"5590",924,626,459,614,705,408
"100506504",61,52,32,25,43,16
"199990",1094,895,587,811,963,440
"112268219",82,64,35,49,65,41
"105378593",10,9,8,6,13,2
"6497",1205,815,593,828,844,531
"79906",289,192,132,230,284,157
"100129534",52,38,51,40,57,26
"11079",4480,3150,2277,2780,3051,1644
"5192",868,683,462,622,694,318
"9651",76,41,33,50,66,35
"55229",886,618,395,593,662,370
"388585",0,0,0,1,0,0
"115110",0,0,0,8,4,2
"8764",1,1,0,21,22,8
"100996583",0,1,0,1,2,0
"127281",952,741,465,503,559,333
"79258",122,95,70,58,71,48
"105378597",2,3,0,2,7,1
"100287898",23,13,8,32,32,14
"140625",0,0,0,3,0,1
"440556",0,0,1,14,5,2
"63976",21,5,1,31,25,27
"105378606",0,0,0,0,1,0
"107984909",0,0,0,2,6,0
"105378605",0,0,0,0,2,1
"105378604",0,1,0,1,0,1
"27237",353,208,157,203,222,108
"1953",266,196,151,190,236,100
"105378608",3,0,0,0,2,0
"693135",0,1,0,0,0,0
"127262",975,733,501,544,550,312
"49856",658,402,349,426,542,286
"7161",39,28,15,27,38,20
"105378610",0,0,0,0,2,0
"57212",940,634,450,742,780,466
"148870",3,1,0,2,0,1
"388588",20,8,7,24,19,5
"57470",2510,1824,1228,1598,1775,1043
"9731",1410,921,678,1001,1168,678
"1677",252,130,94,114,136,72
"339448",1061,729,535,646,744,414
"100133612",16,10,13,11,12,10
"105376672",0,0,0,0,1,0
"105376673",0,0,0,2,1,0
"284661",1,0,0,0,0,0
"55966",0,0,1,0,1,1
"107984911",0,1,1,3,3,6
"261734",462,372,241,298,292,197
"8514",787,549,354,367,444,264
"26038",28,27,13,39,43,29
"6146",11640,9573,6632,7468,8397,4704
"102724450",40,29,12,22,43,17
"388591",1100,741,568,879,1115,542
"23463",6684,4731,3296,3214,3725,2193
"148645",53,27,26,36,36,19
"387509",111,84,53,52,79,24
"11332",2462,2022,1259,1765,2190,1061
"54626",43,26,15,26,30,19
"83715",10,5,5,29,23,16
"8718",70,47,32,23,47,28
"57449",147,111,80,77,100,50
"79707",1278,791,612,810,1006,571
"80835",0,0,1,6,4,1
"107984912",0,0,0,1,0,0
"3104",471,342,257,602,701,377
"9903",1003,669,506,1002,1058,606
"107984913",17,8,5,9,18,6
"148479",750,511,359,430,556,311
"90326",1152,850,620,975,1049,591
"55735",2824,1949,1370,1930,1941,1141
"110841581",21,14,3,31,48,29
"23261",1286,1131,733,926,1220,599
"101928836",1,0,0,1,0,0
"105376689",22,14,10,35,45,23
"9341",2430,1785,1266,1551,1722,943
"8863",107,74,37,43,51,31
"10911",3,1,3,30,28,28
"3604",36,19,23,304,328,191
"11315",10617,8145,5702,6658,7809,4232
"54206",3230,2070,1466,3120,3470,1852
"107984915",0,1,0,0,4,5
"105376695",1,1,0,0,1,0
"50651",176,124,88,93,135,65
"473",1683,1053,748,1147,1319,751
