"","WT_Mock_1","WT_Mock_2","WT_Mock_3","KO_Mock_1","KO_Mock_2","KO_Mock_3","WT_ZIKV_1","WT_ZIKV_2","WT_ZIKV_3","KO_ZIKV_1","KO_ZIKV_2","KO_ZIKV_3"
"100287102",6,2,5,4,4,5,3,5,3,4,4,3
"653635",636,479,324,426,385,493,593,621,317,405,581,451
"102466751",18,20,10,15,14,19,11,18,6,8,13,11
"107985730",1,0,1,0,1,1,1,0,0,1,1,0
"100302278",0,0,0,0,0,0,1,0,0,0,0,0
"645520",0,1,0,0,0,0,0,0,1,0,0,0
"100996442",108,67,45,48,47,76,51,69,43,35,46,40
"729737",63,27,28,31,29,51,53,51,25,43,63,37
"102725121",14,14,13,14,11,18,12,19,10,9,6,8
"102723897",693,525,373,483,414,565,613,721,376,473,684,544
"102465909",21,14,10,15,13,15,14,14,6,10,13,10
"112268260",24,13,12,11,13,14,33,31,20,17,32,23
"729759",0,0,0,0,0,0,0,1,0,0,1,0
"100132287",119,68,57,77,67,103,126,106,59,103,131,107
"105378947",0,0,0,0,0,1,5,2,3,3,7,1
"101928626",1,0,0,0,0,0,1,1,0,0,0,0
"113219467",2008,1660,1011,1317,1050,1427,1523,1972,1080,1016,1334,958
"81399",10,3,1,2,3,4,3,4,1,6,11,5
"100288069",77,37,34,35,27,61,47,52,21,28,49,54
"105378580",15,10,9,17,12,32,15,13,4,14,12,15
"400728",6,5,0,1,2,3,2,2,1,6,3,2
"79854",20,15,7,14,8,23,126,142,63,47,68,72
"643837",423,254,182,249,246,359,223,260,171,189,292,221
"107984850",1,0,3,2,0,1,5,5,2,1,6,2
"284593",4,2,2,1,0,1,2,1,2,2,5,2
"284600",327,247,153,196,213,263,165,226,96,107,130,115
"100130417",424,308,229,259,255,322,320,366,181,148,218,194
"107985728",807,534,267,314,224,529,390,453,315,356,333,286
"148398",4409,3254,2142,2484,2069,3167,3446,4095,2160,2014,2855,2261
"26155",7200,4994,3700,4538,3929,5822,4752,5518,3074,2550,3910,3349
"339451",809,516,361,514,493,735,501,585,302,381,463,425
"84069",167,126,97,160,159,201,283,324,168,196,274,193
"84808",35,32,18,34,32,54,74,89,47,37,51,45
"57801",809,627,332,455,277,628,1732,2087,1288,1496,1368,1263
"9636",181,117,97,167,144,169,19828,20854,10325,3631,5474,4548
"375790",24538,15246,11424,14884,13979,20030,25835,26796,14657,14439,20417,16971
"100288175",51,40,31,44,36,49,85,96,51,99,146,108
"105378948",44,39,33,42,25,46,75,83,55,85,126,81
"401934",3,1,0,2,2,0,14,21,8,11,14,11
"54991",616,442,298,407,376,571,447,481,258,271,398,341
"254099",0,1,0,0,0,0,0,0,0,0,0,1
"406983",0,0,0,0,0,0,0,1,1,0,1,1
"554210",1,0,1,0,0,0,3,0,2,2,0,0
"100506376",1,0,0,0,0,0,0,0,0,0,0,1
"254173",1,0,0,0,0,0,2,1,0,2,0,1
"8784",2,2,0,0,0,2,1,6,2,3,2,4
"7293",7,2,1,2,3,6,9,13,2,9,5,2
"51150",8580,5890,4160,4966,4093,6042,5101,5862,3359,3016,4204,3542
"126792",1359,995,665,1017,794,1183,674,786,431,473,652,566
"388581",36,31,19,21,20,37,29,36,18,22,35,28
"118424",1994,1518,1010,1414,1263,1803,1334,1704,919,1318,1880,1516
"101928895",60,34,18,23,30,45,35,50,24,40,51,30
"6339",188,120,91,104,117,160,161,166,83,97,147,130
"116983",1765,1296,939,1267,1117,1662,1058,1295,768,859,1212,992
"102465434",2,2,1,1,1,1,1,1,1,1,0,1
"109623456",5,3,3,6,3,9,2,4,2,5,4,3
"126789",407,314,282,309,280,410,312,331,168,182,298,222
"54973",2785,2001,1536,2315,1770,2680,1835,2252,1285,1415,2127,1770
"102465435",14,13,8,14,9,17,6,13,6,8,8,8
"80772",931,734,439,506,452,562,559,614,328,308,456,366
"83756",61,31,27,49,27,42,42,46,30,27,47,35
"1855",3213,2386,1564,2117,1862,2589,2149,2524,1408,1682,2359,1865
"102466740",7,6,5,6,5,8,6,6,1,4,11,7
