"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048018","receptor ligand activity","145/3086","334/13783",0.434131736526946,1.93896232163023,9.33038335281408,4.16193706009365e-18,4.66136950730489e-15,4.66136950730489e-15,"ENDOU/METRNL/IFNB1/TGFB3/C1QTNF4/WNT8B/CLEC2B/GDNF/HLA-C/SCT/IL6/PDGFA/BMP2/IL16/EBI3/TYMP/BMP8A/SEMA7A/SHH/IFNL3/C1QTNF12/KISS1/DLL1/ADM2/ADM/GNRH1/CX3CL1/CCL3/FGF20/CCL2/VGF/CXCL8/ULBP1/CCN3/IL32/NPPB/CGB7/CD72/GDF7/CCL5/WNT10A/FGF1/TNFSF13/CXCL9/TAFA2/IFNL4/TNFSF4/CLEC11A/OSM/GCG/VSTM1/IZUMO1/ALKBH1/IL23A/GDF9/IL12A/DLL4/WNT2B/UCN/HSPA1A/TG/CD70/FGF21/CORT/CXCL3/MSTN/IL7/TNF/LIF/CCL20/ULBP2/INHBA/FGF2/PDCD1LG2/HBEGF/CLEC2D/ANGPTL8/NPPC/INSL6/INHBC/LTB/FGF19/IL13/CSF1/ICAM5/WNT7A/ANGPT2/FGF8/CXCL2/TAC3/SEMA3D/NECTIN4/CSF2/ICOSLG/CD274/TNFSF13B/SECTM1/UTS2B/CXCL1/CXCL10/TNFRSF14/TNFSF14/FLT3LG/IL5/INHBE/CCL17/CSF3/NGF/NRG4/SELPLG/THBS4/IAPP/CXCL11/GMFG/WNT16/RAET1L/OXT/IL34/ADM5/CLCF1/STC2/IFNL1/GNRH2/ANGPT4/MMRN2/IGF2/PGF/CCL3L1/CXCL12/CCL4/TFF1/TSLP/ICAM1/ALKAL2/FGF5/EFNB2/TNFSF9/IL1B/FGF18/CALCB/IL1A/LTA/LHB/SEMA4A/IFNL2",145
"GO:0030546","signaling receptor activator activity","146/3086","343/13783",0.425655976676385,1.90110704035341,9.07709528232188,2.65832475398698e-17,1.48866186223271e-14,1.48866186223271e-14,"ENDOU/METRNL/IFNB1/TGFB3/C1QTNF4/WNT8B/CLEC2B/GDNF/HLA-C/SCT/IL6/PDGFA/BMP2/IL16/EBI3/TYMP/BMP8A/SEMA7A/SHH/IFNL3/C1QTNF12/KISS1/DLL1/ADM2/ADM/GNRH1/CX3CL1/CCL3/FGF20/CCL2/VGF/CXCL8/ULBP1/CCN3/IL32/NPPB/CGB7/CD72/GDF7/CCL5/WNT10A/FGF1/TNFSF13/CXCL9/TAFA2/IFNL4/TNFSF4/CLEC11A/OSM/GCG/VSTM1/IZUMO1/ALKBH1/IL23A/GDF9/IL12A/DLL4/WNT2B/UCN/HSPA1A/TG/CD70/FGF21/CORT/CXCL3/MSTN/IL7/TNF/LIF/CCL20/ULBP2/INHBA/FGF2/PDCD1LG2/HBEGF/CLEC2D/ANGPTL8/NPPC/INSL6/INHBC/LTB/FGF19/IL13/CSF1/ICAM5/WNT7A/ANGPT2/FGF8/CXCL2/TAC3/SEMA3D/NECTIN4/CSF2/JAK2/ICOSLG/CD274/TNFSF13B/SECTM1/UTS2B/CXCL1/CXCL10/TNFRSF14/TNFSF14/FLT3LG/IL5/INHBE/CCL17/CSF3/NGF/NRG4/SELPLG/THBS4/IAPP/CXCL11/GMFG/WNT16/RAET1L/OXT/IL34/ADM5/CLCF1/STC2/IFNL1/GNRH2/ANGPT4/MMRN2/IGF2/PGF/CCL3L1/CXCL12/CCL4/TFF1/TSLP/ICAM1/ALKAL2/FGF5/EFNB2/TNFSF9/IL1B/FGF18/CALCB/IL1A/LTA/LHB/SEMA4A/IFNL2",146
"GO:0030545","signaling receptor regulator activity","151/3086","368/13783",0.410326086956522,1.83263916283919,8.69577893374768,3.79162827272599e-16,1.4155412218177e-13,1.4155412218177e-13,"ENDOU/METRNL/IFNB1/TGFB3/C1QTNF4/WNT8B/CLEC2B/GDNF/HLA-C/SCT/IL6/PDGFA/BMP2/IL16/EBI3/TYMP/BMP8A/SEMA7A/SHH/IFNL3/C1QTNF12/KISS1/DLL1/ADM2/ADM/GNRH1/CX3CL1/CCL3/FGF20/CCL2/VGF/CXCL8/ULBP1/CCN3/IL32/NPPB/CGB7/CD72/GDF7/CCL5/WNT10A/FGF1/TNFSF13/CXCL9/TAFA2/IFNL4/TNFSF4/CLEC11A/OSM/GCG/VSTM1/IZUMO1/ALKBH1/IL23A/GDF9/IL12A/DLL4/WNT2B/UCN/HSPA1A/TG/CD70/FGF21/CORT/CXCL3/MSTN/IL7/TNF/LIF/CCL20/ULBP2/INHBA/FGF2/PDCD1LG2/HBEGF/CLEC2D/PSCA/ANGPTL8/NPPC/INSL6/IGSF1/P2RY1/INHBC/LTB/FGF19/IL13/CSF1/ICAM5/WNT7A/ANGPT2/FGF8/CXCL2/TAC3/SEMA3D/NECTIN4/CSF2/JAK2/ICOSLG/CD274/TNFSF13B/SECTM1/UTS2B/CXCL1/CXCL10/TNFRSF14/TNFSF14/FLT3LG/IL5/INHBE/CCL17/CSF3/NGF/NRG4/SELPLG/THBS4/IAPP/CXCL11/GMFG/WNT16/RAET1L/OXT/IL34/ADM5/CLCF1/STC2/IFNL1/GNRH2/ANGPT4/MMRN2/IGF2/PGF/CCL3L1/CXCL12/CCL4/TFF1/TSLP/ICAM1/ALKAL2/FGF5/EFNB2/TNFSF9/IL1B/FGF18/CALCB/FST/IL1A/LTA/LHB/SEMA4A/IFNL2/LYPD1",151
"GO:0005125","cytokine activity","68/3086","131/13783",0.519083969465649,2.31838443005348,8.14334171386415,1.25926553064555e-13,3.52594348580755e-11,3.52594348580755e-11,"IFNB1/TGFB3/C1QTNF4/WNT8B/IL6/BMP2/IL16/EBI3/BMP8A/IFNL3/CX3CL1/CCL3/CCL2/CXCL8/IL32/GDF7/CCL5/WNT10A/TNFSF13/CXCL9/IFNL4/TNFSF4/OSM/VSTM1/IL23A/GDF9/IL12A/WNT2B/CXCL3/MSTN/IL7/TNF/LIF/CCL20/INHBA/FGF2/INHBC/LTB/IL13/CSF1/WNT7A/CXCL2/CSF2/TNFSF13B/SECTM1/CXCL1/CXCL10/TNFSF14/FLT3LG/IL5/INHBE/CCL17/CSF3/CXCL11/WNT16/IL34/CLCF1/IFNL1/CCL3L1/CXCL12/CCL4/TSLP/ALKAL2/TNFSF9/IL1B/IL1A/LTA/IFNL2",68
"GO:0030527","structural constituent of chromatin","37/3086","53/13783",0.69811320754717,3.11798261167292,8.29751683489351,2.29941900223444e-13,5.15069856500515e-11,5.15069856500515e-11,"H2BC17/H2BC18/H2AC13/H2BC26/H3C6/H2BC21/H2BC11/H4C9/H3-3B/H3C2/H3C12/H2BC4/H2BK1/H2AC12/H4C8/H2BC19P/H4C16/H4C14/H2AJ/H2BC9/H4C5/H3C13/H2BC15/H1-3/H1-4/H2BC6/H1-0/H2BC13/H2AC20/H3C10/H2AC8/H2BC8/H4C3/H2AC11/H3-5/H4C12/H2AC21",37
"GO:0001216","DNA-binding transcription activator activity","134/3086","359/13783",0.373259052924791,1.66708669036371,6.87878307527083,6.22611864287868e-11,1.16220881333735e-08,1.16220881333735e-08,"NR4A2/ZFY/HAND2/TBX19/NR6A1/ZNF345/JUND/ZNF416/ZEB2/OSR2/NPAS4/FOXD1/GFI1B/CREBRF/NKX2-5/ESRRB/MTF1/NFKB1/ZBTB17/EBF4/HOXA1/GRHL3/NKX6-1/ZNF780B/SIX2/MAFA/IRF5/ZNF580/ATF5/FOXC2/IRX3/PLAG1/WT1/PROX1/NR4A3/MYC/VEZF1/HOXA5/BHLHA15/PPARA/NFATC1/BNC1/KLF15/GCM1/DDIT3/REL/GRHL1/MAFG/TBX21/EGR1/NR1I3/MAFF/ZNF597/SP7/DLX2/TFAP2E/RORB/FOXJ2/ZNF24/PRDM2/SOX17/SRF/SATB2/RUNX1/HOXB2/GBX2/NR1H4/POU3F2/HOXA13/CASZ1/ZNF329/IRF1/SIX4/BACH1/HOXB5/ESR1/IRF4/POU4F3/HAND1/ZNF175/HOXB3/EGR4/FOXF1/HINFP/NHLH1/EGR2/MYBL1/JUN/CEBPG/CSRNP2/PLAGL2/HOXD4/FOSB/ZNF212/HOXD3/KLF6/TBX3/KLF4/IKZF3/FOS/CSRNP1/RUNX2/PRDM12/STAT5A/HOXD10/EGR3/ATF3/PDX1/GATA3/NEUROD2/IRF2/SOX30/FOXH1/MAFB/NR4A1/PBX2/NFKB2/TWIST1/SPI1/RFX5/HLF/ETS1/EN2/FOXP3/MEIS1/MSX1/PRDM16/SOX15/RLF/KLF7/USF3/PAX5/ETV2/NKX2-8",134
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","132/3086","353/13783",0.373937677053824,1.67011762891538,6.85051900127488,7.50995660662427e-11,1.20159305705988e-08,1.20159305705988e-08,"NR4A2/ZFY/HAND2/TBX19/NR6A1/ZNF345/JUND/ZEB2/OSR2/NPAS4/FOXD1/GFI1B/CREBRF/NKX2-5/ESRRB/MTF1/NFKB1/ZBTB17/EBF4/HOXA1/GRHL3/NKX6-1/ZNF780B/SIX2/MAFA/IRF5/ZNF580/ATF5/FOXC2/IRX3/PLAG1/WT1/PROX1/NR4A3/MYC/VEZF1/HOXA5/BHLHA15/PPARA/NFATC1/KLF15/GCM1/DDIT3/REL/GRHL1/MAFG/TBX21/EGR1/NR1I3/MAFF/ZNF597/SP7/DLX2/TFAP2E/RORB/FOXJ2/ZNF24/PRDM2/SOX17/SRF/SATB2/RUNX1/HOXB2/GBX2/NR1H4/POU3F2/HOXA13/CASZ1/ZNF329/IRF1/SIX4/BACH1/HOXB5/ESR1/IRF4/POU4F3/HAND1/ZNF175/HOXB3/EGR4/FOXF1/HINFP/NHLH1/EGR2/MYBL1/JUN/CEBPG/CSRNP2/PLAGL2/HOXD4/FOSB/ZNF212/HOXD3/KLF6/TBX3/KLF4/IKZF3/FOS/CSRNP1/RUNX2/PRDM12/STAT5A/HOXD10/EGR3/ATF3/PDX1/GATA3/NEUROD2/IRF2/SOX30/FOXH1/MAFB/NR4A1/PBX2/NFKB2/TWIST1/SPI1/RFX5/HLF/ETS1/EN2/FOXP3/MEIS1/MSX1/PRDM16/SOX15/RLF/KLF7/USF3/PAX5/ETV2/NKX2-8",132
"GO:0001217","DNA-binding transcription repressor activity","104/3086","266/13783",0.390977443609023,1.74622232834192,6.60073028071399,4.4261719493145e-10,6.1966407290403e-08,6.1966407290403e-08,"ZBTB20/GSC/NR6A1/FOXD3/HES1/HOXB8/ZEB2/OTP/ZNF530/KRABD5/ZNF225/ZNF91/GFI1/NFKB1/ZBTB32/ZBTB17/BHLHE41/THAP1/TRPS1/IKZF5/ZNF155/NKX6-1/ZNF350/ZNF572/IRX3/IRF8/BATF3/PROX1/NR2F2/NR2F1/MYC/TBX2/ZBTB6/ZNF668/PPARA/HES6/ZNF221/NFIL3/TBX21/NKX3-2/ETV7/HIC1/HOXA2/NR1D2/TCF7L2/NFATC4/PRDM2/ZBTB46/PURB/RARA/ZNF418/ZKSCAN3/TGIF2/ZNF134/ZBTB5/MXD1/BACH1/JPH2/ZNF140/SCRT1/HAND1/ZNF175/PRDM1/INSM2/ZBTB2/ZBTB26/HINFP/SOX6/JUN/NFE2L3/SALL1/ZNF205/ZNF747/HEY1/BCL6/POU5F1/BCL6B/TBX3/ZBTB49/ZNF536/ASCL5/PRDM12/ATF3/SNAI2/GATA3/IRF2/OVOL1/SOX30/TWIST1/SPI1/ZBTB39/ZBTB21/FOXP2/BACH2/NR1D1/ZBTB10/FOXP3/SNAI1/MSX1/ZNF263/ETV3/PRDM16/HEY2/ZBTB34",104
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","99/3086","257/13783",0.385214007782101,1.72048109826983,6.26220884851863,2.93751175382024e-09,3.65557018253185e-07,3.65557018253185e-07,"ZBTB20/GSC/FOXD3/HES1/HOXB8/ZEB2/OTP/ZNF530/KRABD5/ZNF225/ZNF91/GFI1/NFKB1/ZBTB32/ZBTB17/BHLHE41/THAP1/TRPS1/IKZF5/ZNF155/NKX6-1/ZNF350/ZNF572/IRX3/IRF8/BATF3/PROX1/NR2F2/NR2F1/MYC/TBX2/ZBTB6/ZNF668/PPARA/HES6/ZNF221/NFIL3/TBX21/NKX3-2/ETV7/HIC1/HOXA2/NR1D2/TCF7L2/NFATC4/PRDM2/ZBTB46/PURB/ZKSCAN3/TGIF2/ZNF134/ZBTB5/MXD1/BACH1/JPH2/ZNF140/SCRT1/HAND1/ZNF175/PRDM1/INSM2/ZBTB2/ZBTB26/HINFP/JUN/NFE2L3/SALL1/ZNF205/ZNF747/HEY1/BCL6/POU5F1/BCL6B/TBX3/ZBTB49/ZNF536/ASCL5/PRDM12/ATF3/SNAI2/GATA3/IRF2/OVOL1/SOX30/SPI1/ZBTB39/ZBTB21/FOXP2/BACH2/NR1D1/ZBTB10/FOXP3/SNAI1/MSX1/ZNF263/ETV3/PRDM16/HEY2/ZBTB34",99
"GO:0004930","G protein-coupled receptor activity","86/3086","219/13783",0.392694063926941,1.75388926866657,6.04030424134162,1.10905828007765e-08,1.24214527368697e-06,1.24214527368697e-06,"PTGIR/GIPR/C3AR1/GRPR/P2RY11/MCHR1/AVPR1A/TAS1R1/CRHR2/TAS1R3/MC5R/ACKR4/GPR3/OR2B6/GPR179/NPY1R/CHRM5/NPFFR1/HRH3/GPR37L1/CXCR6/VN1R1/GABBR2/P2RY8/GPR50/CMKLR2/GALR2/TAS2R19/RXFP4/HTR7/GPER1/SSTR1/GPRC5D/OR1F1/DRD4/HRH1/LPAR6/GPR146/PAX8/PTGER4/OR2I1/CXCR4/GRM8/ACKR1/FZD4/ADRB2/GPR88/RORB/SSTR2/OR10AD1/ADRA2B/OR52A1/P2RY1/OR1F2P/ADGRE3/GPBAR1/TAS2R31/GPR62/GPR61/ADGRF3/ADRB1/HCAR2/VIPR2/SPHK1/CCR4/OR4X2/GPR25/MLNR/NPR1/GP1BA/CRCP/OXTR/TAAR3P/S1PR2/GNAT2/CHRM3/CALCR/CCR10/LGR5/OPRD1/OR6J1/GPR83/GPR173/S1PR1/GPR34/OR2H2",86
